GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.languagetool.language,Persian,24,113,0,0,1,7,1,7,1,7
JaCoCo Coverage Report,org.languagetool.language,FastText,193,0,10,0,37,0,9,0,4,0
JaCoCo Coverage Report,org.languagetool.language,Ukrainian1992,24,0,0,0,5,0,5,0,5,0
JaCoCo Coverage Report,org.languagetool.language,Chinese,36,45,2,0,6,8,5,8,4,8
JaCoCo Coverage Report,org.languagetool.language,AustrianGerman,24,12,0,0,3,3,1,3,1,3
JaCoCo Coverage Report,org.languagetool.language,Galician,75,275,20,0,24,15,23,9,4,9
JaCoCo Coverage Report,org.languagetool.language,Swedish,10,93,0,0,1,7,1,7,1,7
JaCoCo Coverage Report,org.languagetool.language,English.new CacheLoader() {...},23,3,0,0,5,1,1,1,1,1
JaCoCo Coverage Report,org.languagetool.language,Catalan,341,21,30,0,53,6,44,6,15,6
JaCoCo Coverage Report,org.languagetool.language,Arabic,54,282,2,0,9,11,7,9,6,9
JaCoCo Coverage Report,org.languagetool.language,Icelandic,92,0,0,0,8,0,8,0,8,0
JaCoCo Coverage Report,org.languagetool.language,Polish,139,14,2,0,13,4,10,4,9,4
JaCoCo Coverage Report,org.languagetool.language,Esperanto,9,96,0,0,2,9,2,9,2,9
JaCoCo Coverage Report,org.languagetool.language,MozambiquePortuguese,29,12,0,0,5,3,1,3,1,3
JaCoCo Coverage Report,org.languagetool.language,NewZealandEnglish,0,68,0,0,0,11,0,5,0,5
JaCoCo Coverage Report,org.languagetool.language,Italian,174,18,2,0,16,4,11,4,10,4
JaCoCo Coverage Report,org.languagetool.language,Tamil,60,14,0,0,4,4,4,4,4,4
JaCoCo Coverage Report,org.languagetool.language,LanguageBuilder,102,0,16,0,16,0,10,0,2,0
JaCoCo Coverage Report,org.languagetool.language,French,100,400,22,2,29,41,26,16,7,16
JaCoCo Coverage Report,org.languagetool.language,BrazilianPortuguese,52,12,0,0,8,3,1,3,1,3
JaCoCo Coverage Report,org.languagetool.language,NonSwissGerman,0,39,0,0,0,7,0,3,0,3
JaCoCo Coverage Report,org.languagetool.language,Malayalam,96,0,0,0,9,0,9,0,9,0
JaCoCo Coverage Report,org.languagetool.language,AmericanEnglish,71,12,4,0,9,3,4,3,2,3
JaCoCo Coverage Report,org.languagetool.language,Belarusian,10,67,0,0,1,7,1,7,1,7
JaCoCo Coverage Report,org.languagetool.language,LanguageIdentifier,346,357,43,35,50,77,37,18,7,9
JaCoCo Coverage Report,org.languagetool.language,Spanish,132,249,38,0,45,19,42,15,6,15
JaCoCo Coverage Report,org.languagetool.language,BritishEnglish,6,80,3,1,3,13,3,6,0,6
JaCoCo Coverage Report,org.languagetool.language,PortugalPortuguese,4,83,2,1,2,14,2,5,0,5
JaCoCo Coverage Report,org.languagetool.language,Lithuanian,84,0,0,0,8,0,8,0,8,0
JaCoCo Coverage Report,org.languagetool.language,Asturian,10,74,0,0,1,7,1,7,1,7
JaCoCo Coverage Report,org.languagetool.language,SwissGerman,0,59,0,0,0,10,0,6,0,6
JaCoCo Coverage Report,org.languagetool.language,Slovak,16,204,0,2,2,17,2,10,2,9
JaCoCo Coverage Report,org.languagetool.language,SouthAfricanEnglish,42,12,0,0,6,3,2,3,2,3
JaCoCo Coverage Report,org.languagetool.language,CanadianEnglish,0,61,0,0,0,10,0,5,0,5
JaCoCo Coverage Report,org.languagetool.language,Romanian,169,14,0,0,9,4,7,4,7,4
JaCoCo Coverage Report,org.languagetool.language,Slovenian,10,140,0,0,1,8,1,6,1,6
JaCoCo Coverage Report,org.languagetool.language,Ukrainian,34,266,0,2,8,30,8,16,8,15
JaCoCo Coverage Report,org.languagetool.language,CommonWords,314,0,54,0,63,0,30,0,3,0
JaCoCo Coverage Report,org.languagetool.language,Danish,17,125,0,0,1,10,1,8,1,8
JaCoCo Coverage Report,org.languagetool.language,Dutch,328,18,9,0,32,4,24,4,17,4
JaCoCo Coverage Report,org.languagetool.language,Greek,180,14,0,0,14,4,8,4,8,4
JaCoCo Coverage Report,org.languagetool.language,AustralianEnglish,0,61,0,0,0,10,0,5,0,5
JaCoCo Coverage Report,org.languagetool.language,UnicodeBasedLangIdentifier,85,140,37,23,19,33,27,6,0,3
JaCoCo Coverage Report,org.languagetool.language,SimpleGerman,51,7,4,0,13,3,8,3,6,3
JaCoCo Coverage Report,org.languagetool.language,Irish,325,21,4,0,18,6,13,6,11,6
JaCoCo Coverage Report,org.languagetool.language,English,526,406,188,15,170,51,179,27,7,24
JaCoCo Coverage Report,org.languagetool.rules.pl,MorfologikPolishSpellerRule,508,0,46,0,100,0,31,0,8,0
JaCoCo Coverage Report,org.languagetool.rules.pl,DateCheckFilter,218,0,66,0,26,0,38,0,5,0
JaCoCo Coverage Report,org.languagetool.rules.pl,DashRule,30,0,4,0,12,0,6,0,4,0
JaCoCo Coverage Report,org.languagetool.rules.pl,PolishUnpairedBracketsRule,71,0,0,0,7,0,3,0,3,0
JaCoCo Coverage Report,org.languagetool.rules.pl,PolishWordRepeatRule,162,0,0,0,47,0,9,0,9,0
JaCoCo Coverage Report,org.languagetool.rules.pl,DecadeSpellingFilter,217,0,6,0,22,0,7,0,4,0
JaCoCo Coverage Report,org.languagetool.rules.pl,SimpleReplaceRule,64,0,0,0,17,0,9,0,9,0
JaCoCo Coverage Report,org.languagetool.rules.pl,CompoundRule,42,0,4,0,14,0,6,0,4,0
JaCoCo Coverage Report,org.languagetool.tagging.tl,TagalogTagger,0,8,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,org.languagetool.synthesis.ga,IrishSynthesizer,6,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,org.languagetool.tokenizers.br,BretonWordTokenizer,0,50,1,5,0,13,1,4,0,2
JaCoCo Coverage Report,org.languagetool.rules.pt,PortugueseWordinessRule,11,34,0,0,5,10,5,5,5,5
JaCoCo Coverage Report,org.languagetool.rules.pt,PortugueseWordCoherencyRule,17,29,0,0,2,9,2,4,2,4
JaCoCo Coverage Report,org.languagetool.rules.pt,NoDisambiguationPortuguesePartialPosTagFilter,31,9,0,0,5,2,1,1,1,1
JaCoCo Coverage Report,org.languagetool.rules.pt,PortugalPortugueseReplaceRule,21,35,0,0,4,12,3,6,3,6
JaCoCo Coverage Report,org.languagetool.rules.pt,NewYearDateFilter,9,8,0,0,2,2,2,1,2,1
JaCoCo Coverage Report,org.languagetool.rules.pt,PortugueseUnitConversionRule,55,300,10,0,14,46,12,2,4,2
JaCoCo Coverage Report,org.languagetool.rules.pt,PortugueseWordRepeatBeginningRule,5,545,0,0,1,8,1,3,1,3
JaCoCo Coverage Report,org.languagetool.rules.pt,PortugueseWrongWordInContextRule,8,24,0,0,4,9,4,4,4,4
JaCoCo Coverage Report,org.languagetool.rules.pt,PortugueseWikipediaRule,11,34,0,0,5,10,5,5,5,5
JaCoCo Coverage Report,org.languagetool.rules.pt,BrazilianPortugueseReplaceRule,56,0,0,0,16,0,9,0,9,0
JaCoCo Coverage Report,org.languagetool.rules.pt,PortugueseRedundancyRule,11,34,0,0,5,10,5,5,5,5
JaCoCo Coverage Report,org.languagetool.rules.pt,PortugueseWordRepeatRule,104,31,20,0,17,10,15,3,5,3
JaCoCo Coverage Report,org.languagetool.rules.pt,PostReformPortugueseDashRule,12,31,3,3,3,12,5,4,3,3
JaCoCo Coverage Report,org.languagetool.rules.pt,PortugueseAccentuationCheckRule,1356,122,324,0,162,41,165,3,3,3
JaCoCo Coverage Report,org.languagetool.rules.pt,PortugueseAgreementReplaceRule,24,35,0,0,5,12,4,6,4,6
JaCoCo Coverage Report,org.languagetool.rules.pt,PreReformPortugueseCompoundRule,2,42,1,3,1,13,2,4,1,3
JaCoCo Coverage Report,org.languagetool.rules.pt,PortugueseReplaceRule,24,35,0,0,5,12,4,6,4,6
JaCoCo Coverage Report,org.languagetool.rules.pt,PreReformPortugueseDashRule,12,31,3,3,3,12,5,4,3,3
JaCoCo Coverage Report,org.languagetool.rules.pt,PortugueseArchaismsRule,11,34,0,0,5,9,5,5,5,5
JaCoCo Coverage Report,org.languagetool.rules.pt,RegularIrregularParticipleFilter,269,14,44,0,46,3,24,1,2,1
JaCoCo Coverage Report,org.languagetool.rules.pt,PortugueseReadabilityRule,439,44,188,2,54,10,103,5,9,4
JaCoCo Coverage Report,org.languagetool.rules.pt,PostReformPortugueseCompoundRule,5,42,1,3,2,13,3,4,2,3
JaCoCo Coverage Report,org.languagetool.rules.pt,PortugueseClicheRule,11,34,0,0,5,10,5,5,5,5
JaCoCo Coverage Report,org.languagetool.rules.pt,PortugueseFillerWordsRule,27,704,6,0,4,4,5,3,2,3
JaCoCo Coverage Report,org.languagetool.rules.pt,YMDNewYearDateFilter,49,0,6,0,6,0,5,0,2,0
JaCoCo Coverage Report,org.languagetool.rules.pt,DateFilterHelper,231,3,66,0,33,1,37,1,4,1
JaCoCo Coverage Report,org.languagetool.rules.pt,PortugueseBarbarismsRule,11,40,0,0,5,11,5,5,5,5
JaCoCo Coverage Report,org.languagetool.rules.pt,PortugueseWeaselWordsRule,11,34,0,0,5,10,5,5,5,5
JaCoCo Coverage Report,org.languagetool.rules.pt,PortugueseDiacriticsRule,16,31,0,0,7,9,7,3,7,3
JaCoCo Coverage Report,org.languagetool.rules.pt,FutureDateFilter,9,8,0,0,2,2,2,1,2,1
JaCoCo Coverage Report,org.languagetool.rules.pt,PortugueseConfusionProbabilityRule,8,0,0,0,3,0,1,0,1,0
JaCoCo Coverage Report,org.languagetool.rules.pt,DateCheckFilter,21,3,0,0,4,1,4,1,4,1
JaCoCo Coverage Report,org.languagetool.rules.pt,PortugueseAccentuationDataLoader,21,68,2,6,1,14,2,4,0,2
JaCoCo Coverage Report,org.languagetool.rules.pt,YMDDateCheckFilter,43,0,6,0,5,0,5,0,2,0
JaCoCo Coverage Report,org.languagetool.gui,Tools.new HyperlinkListener() {...},11,0,2,0,4,0,3,0,2,0
JaCoCo Coverage Report,org.languagetool.gui,Tools,697,0,68,0,140,0,53,0,19,0
JaCoCo Coverage Report,org.languagetool.gui,TreeListener,261,0,40,0,67,0,36,0,16,0
JaCoCo Coverage Report,org.languagetool.gui,AboutDialog,318,0,18,0,65,0,12,0,3,0
JaCoCo Coverage Report,org.languagetool.gui,CheckBoxTreeCellRenderer,101,0,8,0,27,0,6,0,2,0
JaCoCo Coverage Report,org.languagetool.gui,RuleNode,24,0,0,0,9,0,5,0,5,0
JaCoCo Coverage Report,org.languagetool.gui,CategoryNode,62,0,4,0,15,0,7,0,5,0
JaCoCo Coverage Report,org.languagetool.gui,ConfigurationDialog,4586,0,276,0,931,0,197,0,59,0
JaCoCo Coverage Report,org.languagetool.gui,ConfigurationDialog.new DocumentListener() {...},72,0,4,0,18,0,6,0,4,0
JaCoCo Coverage Report,org.languagetool.gui,ConfigurationDialog.new DocumentListener() {...},50,0,4,0,14,0,6,0,4,0
JaCoCo Coverage Report,org.languagetool.gui,ConfigurationDialog.new DocumentListener() {...},48,0,4,0,14,0,6,0,4,0
JaCoCo Coverage Report,org.languagetool.gui,ConfigurationDialog.new DocumentListener() {...},50,0,4,0,14,0,6,0,4,0
JaCoCo Coverage Report,org.languagetool.gui,ConfigurationDialog.new TreeModelListener() {...},176,0,18,0,30,0,14,0,5,0
JaCoCo Coverage Report,org.languagetool.gui,ConfigurationDialog.new MouseAdapter() {...},141,0,18,0,37,0,14,0,5,0
JaCoCo Coverage Report,org.languagetool.gui,Configuration,3418,525,273,3,580,137,247,9,109,9
JaCoCo Coverage Report,org.languagetool.gui,ConfigurationDialog.CategoryComparator,55,0,16,0,8,0,10,0,2,0
JaCoCo Coverage Report,org.languagetool.synthesis.gl,GalicianSynthesizer,6,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,org.languagetool.tagging.disambiguation.ca,CatalanHybridDisambiguator,279,0,32,0,51,0,19,0,3,0
JaCoCo Coverage Report,org.languagetool.server,TextTooLongException,4,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,org.languagetool.server,IllegalConfigurationException,4,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,org.languagetool.server,DatabaseLogger,177,42,10,4,36,16,12,6,6,5
JaCoCo Coverage Report,org.languagetool.server,ErrorRequestLimiter,45,0,2,0,10,0,4,0,3,0
JaCoCo Coverage Report,org.languagetool.server,DatabaseMiscLogEntry,59,0,0,0,15,0,3,0,3,0
JaCoCo Coverage Report,org.languagetool.server,TextChecker,1637,893,153,79,229,167,102,29,5,10
JaCoCo Coverage Report,org.languagetool.server,HTTPServer,155,76,11,3,38,17,13,2,6,2
JaCoCo Coverage Report,org.languagetool.server,HTTPSServer,304,0,12,0,68,0,12,0,6,0
JaCoCo Coverage Report,org.languagetool.server,RequestLimiter,764,0,58,0,100,0,41,0,12,0
JaCoCo Coverage Report,org.languagetool.server,DatabaseRuleMatchLogEntry.RuleMatchInfo,0,11,0,0,0,4,0,1,0,1
JaCoCo Coverage Report,org.languagetool.server,RemoteRuleMatch,167,0,6,0,45,0,28,0,25,0
JaCoCo Coverage Report,org.languagetool.server,DatabaseLogEntry,17,3,0,0,7,1,3,1,3,1
JaCoCo Coverage Report,org.languagetool.server,HTTPSServer.new HttpsConfigurator() {...},20,0,0,0,6,0,2,0,2,0
JaCoCo Coverage Report,org.languagetool.server,ServerMetricsCollector.RequestErrorType,54,0,0,0,6,0,1,0,1,0
JaCoCo Coverage Report,org.languagetool.server,V2TextChecker,31,151,9,13,5,32,8,12,0,9
JaCoCo Coverage Report,org.languagetool.server,HTTPSServerConfig,128,0,6,0,32,0,9,0,6,0
JaCoCo Coverage Report,org.languagetool.server,TextChecker.new Callable() {...},0,66,0,0,0,2,0,3,0,3
JaCoCo Coverage Report,org.languagetool.server,TooManyRequestsException,4,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,org.languagetool.server,DatabaseAccessLimitLogEntry,92,0,0,0,21,0,3,0,3,0
JaCoCo Coverage Report,org.languagetool.server,PortBindingException,9,0,0,0,4,0,2,0,2,0
JaCoCo Coverage Report,org.languagetool.server,PipelinePool,214,143,21,11,40,30,18,7,3,6
JaCoCo Coverage Report,org.languagetool.server,UserLimits,313,43,20,0,55,13,16,7,6,7
JaCoCo Coverage Report,org.languagetool.server,HTTPServerConfig.Mode,14,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.languagetool.server,DatabaseCheckErrorLogEntry,104,0,0,0,23,0,3,0,3,0
JaCoCo Coverage Report,org.languagetool.server,PipelinePool.new CacheLoader() {...},10,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.languagetool.server,HTTPServerConfig,1648,516,148,0,272,86,133,39,55,39
JaCoCo Coverage Report,org.languagetool.server,Pipeline,99,72,3,1,36,30,19,11,17,11
JaCoCo Coverage Report,org.languagetool.server,ResultExtender.HiddenRule,32,0,2,0,9,0,7,0,6,0
JaCoCo Coverage Report,org.languagetool.server,DatabaseLogger.WorkerThread,104,0,16,0,27,0,10,0,2,0
JaCoCo Coverage Report,org.languagetool.server,RequestCounter,0,78,0,2,0,18,0,8,0,7
JaCoCo Coverage Report,org.languagetool.server,AuthException,9,0,0,0,4,0,2,0,2,0
JaCoCo Coverage Report,org.languagetool.server,DatabasePingLogEntry,93,0,10,0,17,0,10,0,5,0
JaCoCo Coverage Report,org.languagetool.server,DatabaseAccess,926,39,72,2,170,16,54,3,17,3
JaCoCo Coverage Report,org.languagetool.server,Pipeline.IllegalPipelineMutationException,4,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,org.languagetool.server,Server.StoppingThreadPoolExecutor,7,21,3,1,2,6,2,2,0,2
JaCoCo Coverage Report,org.languagetool.server,UserDictEntry,9,0,0,0,4,0,2,0,2,0
JaCoCo Coverage Report,org.languagetool.server,LanguageToolHttpHandler,781,626,97,53,125,137,71,22,5,13
JaCoCo Coverage Report,org.languagetool.server,UserLimits.Account,60,0,10,0,9,0,8,0,3,0
JaCoCo Coverage Report,org.languagetool.server,TextChecker.QueryParams,236,53,9,1,55,17,9,1,4,1
JaCoCo Coverage Report,org.languagetool.server,ActiveRules,7,0,0,0,3,0,3,0,3,0
JaCoCo Coverage Report,org.languagetool.server,ServerMetricsCollector,92,576,9,3,19,67,13,7,7,7
JaCoCo Coverage Report,org.languagetool.server,ApiV2,1163,219,97,19,248,50,71,11,19,5
JaCoCo Coverage Report,org.languagetool.server,PathNotFoundException,4,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,org.languagetool.server,PipelinePool.PipelineSettings,95,18,6,0,25,7,6,1,3,1
JaCoCo Coverage Report,org.languagetool.server,UserLimits.new CacheLoader() {...},6,3,0,0,1,1,1,1,1,1
JaCoCo Coverage Report,org.languagetool.server,ResultExtender,513,0,26,0,92,0,24,0,11,0
JaCoCo Coverage Report,org.languagetool.server,DatabaseCheckLogEntry,129,43,4,0,22,16,5,2,3,2
JaCoCo Coverage Report,org.languagetool.server,RequestLimiter.RequestEvent,28,0,0,0,9,0,3,0,3,0
JaCoCo Coverage Report,org.languagetool.server,Server,203,127,21,5,60,25,18,8,5,8
JaCoCo Coverage Report,org.languagetool.server,ServerTools,252,258,31,13,38,44,24,12,2,12
JaCoCo Coverage Report,org.languagetool.server,DatabaseRuleMatchLogEntry,18,34,0,2,5,6,3,2,3,1
